Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
1,NOR,2015,2015-11-01,01:02:00 AM,12:02:00 PM,,NYG,8,8,Sun,W 52-49,,52,49,3,101,39,50,78,505,7,2,0,0,131.7
2,BUF,1983,1983-10-09,01:00:00 AM,01:00:00 AM,@,MIA,6,6,Sun,W 38-35,OT,38,35,3,73,38,55,69.1,407,5,1,1,12,114.1
3,CAR,2015,2015-12-06,04:25:00 AM,03:25:00 AM,@,NOR,13,12,Sun,W 41-38,,41,38,3,79,28,41,68.3,322,5,1,1,9,122.1
4,CAR,2015,2015-12-20,01:02:00 AM,01:02:00 AM,@,NYG,15,14,Sun,W 38-35,,38,35,3,73,25,45,55.6,309,5,0,3,31,116.9
5,CLE,2020,2020-10-25,01:00:00 AM,01:00:00 AM,@,CIN,7,7,Sun,W 37-34,,37,34,3,71,23,29,79.3,316,5,1,0,0,137.3
6,GNB,1983,1983-09-04,01:00:00 AM,12:00:00 PM,@,HOU,1,1,Sun,W 41-38,OT,41,38,3,79,30,34,88.2,344,5,1,1,8,137.1
7,NOR,2014,2014-11-30,01:02:00 AM,01:02:00 AM,@,PIT,13,12,Sun,W 35-32,,35,32,3,67,19,27,70.4,250,5,0,1,7,140
8,NWE,2017,2017-09-24,01:00:00 AM,01:00:00 AM,,HOU,3,3,Sun,W 36-33,,36,33,3,69,25,35,71.4,337,5,0,5,41,146.2
9,NYJ,2000,2000-10-23,09:10:00 AM,09:10:00 AM,,MIA,8,7,Mon,W 40-37,OT,40,37,3,77,36,59,61,376,5,3,1,2,86.7
10,BAL,2000,2000-09-10,01:02:00 AM,01:02:00 AM,,JAX,2,2,Sun,W 39-36,,39,36,3,75,23,40,57.5,242,5,2,3,20,96
11,ATL,2006,2006-10-22,01:05:00 AM,01:05:00 AM,,PIT,7,6,Sun,W 41-38,OT,41,38,3,79,18,30,60,226,4,2,1,6,96.1
12,ATL,2007,2007-12-30,01:04:00 AM,01:04:00 AM,,SEA,17,16,Sun,W 44-41,,44,41,3,85,17,27,63,240,4,0,2,11,132.9
13,BUF,1990,1990-10-21,01:00:00 AM,01:00:00 AM,,NYJ,7,6,Sun,W 30-27,,30,27,3,57,19,32,59.4,276,4,1,2,21,116.8
14,BUF,1994,1994-09-11,01:00:00 AM,01:00:00 AM,@,NWE,2,2,Sun,W 38-35,,38,35,3,73,25,41,61,322,4,3,2,6,88.3
15,BUF,2020,2020-09-20,01:00:00 AM,01:00:00 AM,@,MIA,2,2,Sun,W 31-28,,31,28,3,59,24,35,68.6,411,4,0,1,4,146.7
16,BUF,2020,2020-09-27,01:00:00 AM,01:00:00 AM,,LAR,3,3,Sun,W 35-32,,35,32,3,67,24,33,72.7,274,4,1,4,37,128.9
17,CIN,1994,1994-11-13,01:00:00 AM,01:00:00 AM,,HOU,11,10,Sun,W 34-31,,34,31,3,65,23,33,69.7,348,4,0,1,6,144.4
18,IND,2004,2004-11-08,09:00:00 AM,09:00:00 AM,,MIN,9,8,Mon,W 31-28,,31,28,3,59,23,29,79.3,264,4,0,1,4,144.8
19,IND,2007,2007-12-02,01:02:00 AM,01:02:00 AM,,JAX,13,12,Sun,W 28-25,,28,25,3,53,20,29,69,279,4,1,1,9,126.1
20,ARI,1995,1995-11-26,04:00:00 AM,02:00:00 AM,,ATL,13,12,Sun,W 40-37,OT,40,37,3,77,27,43,62.8,392,4,2,3,21,106.1
21,ARI,1996,1996-09-29,04:00:00 AM,02:00:00 AM,,STL,5,5,Sun,W 31-28,OT,31,28,3,59,37,58,63.8,348,4,0,4,18,104.5
22,ARI,2015,2015-11-22,08:30:00 AM,06:30:00 AM,,CIN,11,10,Sun,W 34-31,,34,31,3,65,20,31,64.5,301,4,2,2,16,111.2
23,DAL,2014,2014-11-23,08:30:00 AM,08:30:00 AM,@,NYG,12,11,Sun,W 31-28,,31,28,3,59,18,26,69.2,266,4,0,2,9,143.4
24,DEN,2013,2013-10-06,04:25:00 AM,03:25:00 AM,@,DAL,5,5,Sun,W 51-48,,51,48,3,99,33,42,78.6,414,4,1,0,0,129.6
25,DEN,2014,2014-11-23,04:25:00 AM,02:25:00 AM,,MIA,12,11,Sun,W 39-36,,39,36,3,75,28,35,80,249,4,0,1,8,135.4
26,DET,1971,1971-10-10,02:00:00 AM,02:00:00 AM,,GNB,4,4,Sun,W 31-28,,31,28,3,59,18,29,62.1,287,4,1,1,15,122.4
27,DET,2015,2015-10-18,01:02:00 AM,01:02:00 AM,,CHI,6,6,Sun,W 37-34,OT,37,34,3,71,27,42,64.3,391,4,1,2,14,117.7
28,DET,2016,2016-10-16,01:02:00 AM,01:02:00 AM,,LAR,6,6,Sun,W 31-28,,31,28,3,59,23,31,74.2,265,4,0,1,5,139.8
29,GNB,2004,2004-11-14,04:15:00 AM,03:15:00 AM,,MIN,10,9,Sun,W 34-31,,34,31,3,65,20,29,69,236,4,0,0,0,133
30,GNB,2011,2011-12-04,04:15:00 AM,04:15:00 AM,@,NYG,13,12,Sun,W 38-35,,38,35,3,73,28,47,59.6,360,4,1,2,9,103.9
31,HOU,2009,2009-09-20,01:03:00 AM,12:03:00 PM,@,TEN,2,2,Sun,W 34-31,,34,31,3,65,25,39,64.1,357,4,0,0,0,127.8
32,MIA,2017,2017-10-22,01:00:00 AM,01:00:00 AM,,NYJ,7,6,Sun,W 31-28,,31,28,3,59,25,37,67.6,304,4,2,3,22,108.6
33,MIA,2019,2019-12-22,01:00:00 AM,01:00:00 AM,,CIN,16,15,Sun,W 38-35,OT,38,35,3,73,31,52,59.6,406,4,1,2,13,103
34,MIN,1979,1979-10-21,02:00:00 AM,01:00:00 AM,,CHI,8,8,Sun,W 30-27,,30,27,3,57,19,43,44.2,213,4,1,1,5,81.3
35,MIN,1998,1998-09-27,04:15:00 AM,03:15:00 AM,@,CHI,4,4,Sun,W 31-28,,31,28,3,59,16,25,64,258,4,0,3,17,140.8
36,NOR,1995,1995-10-15,04:00:00 AM,03:00:00 AM,,MIA,7,6,Sun,W 33-30,,33,30,3,63,21,33,63.6,255,4,0,1,5,127.5
37,NOR,2016,2016-10-16,01:03:00 AM,12:03:00 PM,,CAR,6,5,Sun,W 41-38,,41,38,3,79,34,49,69.4,460,4,1,1,5,118.2
38,NWE,1999,1999-09-19,01:02:00 AM,01:02:00 AM,,IND,2,2,Sun,W 31-28,,31,28,3,59,27,45,60,292,4,0,1,7,109.4
39,NWE,2002,2002-09-22,01:02:00 AM,01:02:00 AM,,KAN,3,3,Sun,W 41-38,OT,41,38,3,79,39,55,70.9,399,4,1,4,11,108.9
40,TEN,2020,2020-09-20,01:00:00 AM,12:00:00 PM,,JAX,2,2,Sun,W 33-30,,33,30,3,63,18,24,75,231,4,0,1,8,145.7
41,PHI,2004,2004-10-24,01:03:00 AM,01:03:00 AM,@,CLE,7,6,Sun,W 34-31,OT,34,31,3,65,28,43,65.1,367,4,1,2,9,114.1
42,PIT,2017,2017-11-26,08:30:00 AM,08:30:00 AM,,GNB,12,11,Sun,W 31-28,,31,28,3,59,33,45,73.3,341,4,2,1,10,106.8
43,OAK,1975,1975-11-30,04:00:00 AM,01:00:00 AM,,ATL,11,11,Sun,W 37-34,OT,37,34,3,71,18,33,54.5,248,4,2,2,16,95.2
44,OAK,2018,2018-09-30,04:05:00 AM,01:05:00 AM,,CLE,4,4,Sun,W 45-42,OT,45,42,3,87,35,58,60.3,426,4,2,3,11,92.4
45,LAR,2018,2018-11-19,08:15:00 AM,07:15:00 AM,,KAN,11,11,Mon,W 54-51,,54,51,3,105,31,49,63.3,379,4,0,5,34,117.1
46,BAL,2003,2003-11-23,01:02:00 AM,01:02:00 AM,,SEA,12,11,Sun,W 44-41,OT,44,41,3,85,20,37,54.1,276,4,0,6,43,119.1
47,SDG,1983,1983-12-11,04:00:00 AM,01:00:00 AM,,KAN,15,15,Sun,W 41-38,,41,38,3,79,31,49,63.3,376,4,2,0,0,97
48,SDG,1985,1985-09-22,01:00:00 AM,01:00:00 AM,@,CIN,3,3,Sun,W 44-41,,44,41,3,85,25,43,58.1,344,4,2,0,0,95.5
49,SDG,2014,2014-12-20,08:26:00 AM,05:26:00 AM,@,SFO,16,15,Sat,W 38-35,OT,38,35,3,73,33,54,61.1,348,4,3,2,8,82
50,SEA,2017,2017-10-29,04:05:00 AM,01:05:00 AM,,HOU,8,7,Sun,W 41-38,,41,38,3,79,26,41,63.4,446,4,1,2,6,123.2
51,SFO,2019,2019-10-31,08:20:00 AM,06:20:00 AM,@,ARI,9,8,Thu,W 28-25,,28,25,3,53,28,37,75.7,310,4,0,1,7,136.9
52,TAM,2019,2019-12-08,01:00:00 AM,01:00:00 AM,,IND,14,13,Sun,W 38-35,,38,35,3,73,35,49,71.4,467,4,3,1,7,103.6
53,ATL,1988,1988-10-30,01:00:00 AM,01:00:00 AM,@,PHI,9,9,Sun,W 27-24,,27,24,3,51,10,23,43.5,202,3,0,4,33,120.5
54,ATL,1993,1993-12-11,04:00:00 AM,04:00:00 AM,,SFO,15,13,Sat,W 27-24,,27,24,3,51,24,39,61.5,270,3,0,4,20,110
55,ATL,1995,1995-10-22,01:00:00 AM,01:00:00 AM,@,TAM,8,7,Sun,W 24-21,,24,21,3,45,24,37,64.9,268,3,1,4,27,105.1
56,ATL,1997,1997-11-02,01:00:00 AM,01:00:00 AM,,STL,10,9,Sun,W 34-31,,34,31,3,65,19,32,59.4,265,3,1,2,11,105.7
